Movie,Domestic
The Beach Bum,3502600
The Lego Movie 2: The Second Part,105806508
How to Train Your Dragon: The Hidden World,160799505
"Don't Worry, He Won't Get Far on Foot",2793039
The Lego Batman Movie,175750384
War Dogs,43034523
Sausage Party,97685686
"Hail, Caesar!",30498085
True Story,4719695
22 Jump Street,191719337
How to Train Your Dragon 2,177002924
The Lego Movie,257760692
The Wolf of Wall Street,116900694
This Is the End,101470202
Django Unchained,162805434
The Watch,35353000
21 Jump Street,138447667
The Sitter,30441326
Moneyball,75605492
Megamind,148415853
Get Him to the Greek,60974475
How to Train Your Dragon,217581231
Cyrus,7468936
The Invention of Lying,18451251
Funny People,51855045
Night at the Museum: Battle of the Smithsonian,177243721
Forgetting Sarah Marshall,63172463
Horton Hears a Who!,154529439
Strange Wilderness,6575282
Walk Hard: The Dewey Cox Story,18317151
Superbad,121463226
Evan Almighty,100462298
Knocked Up,148768917
Rocket Science,714943
10 Items or Less,83291
Accepted,36323505
Click,137355633
Grandma's Boy,6090172
The 40-Year-Old Virgin,109449237
I Heart Huckabees,12785432
