Movie,International
The Beach Bum,1050586
The Lego Movie 2: The Second Part,85500000
How to Train Your Dragon: The Hidden World,359097143
"Don't Worry, He Won't Get Far on Foot",2793039
The Lego Batman Movie,136200000
War Dogs,43200000
Sausage Party,43019636
"Hail, Caesar!",33149571
True Story,541900
22 Jump Street,139614539
How to Train Your Dragon 2,444534595
The Lego Movie,210300000
The Wolf of Wall Street,275100000
This Is the End,24571120
Django Unchained,262562804
The Watch,32914862
21 Jump Street,63137661
The Sitter,4500862
Moneyball,34600724
Megamind,173469912
Get Him to the Greek,30287004
How to Train Your Dragon,277297528
Cyrus,2454919
The Invention of Lying,13955256
Funny People,19730190
Night at the Museum: Battle of the Smithsonian,235862449
Forgetting Sarah Marshall,42000652
Horton Hears a Who!,142608575
Strange Wilderness,389452
Walk Hard: The Dewey Cox Story,2258092
Superbad,48408493
Evan Almighty,72956483
Knocked Up,70307601
Rocket Science,48635
10 Items or Less,1315931
Accepted,2181504
Click,100325666
Grandma's Boy,476105
The 40-Year-Old Virgin,67929408
I Heart Huckabees,7309477
