Year,Domestic,International,Total
2004,12785432,7309477,20094909
2005,109449237,67929408,177378645
2006,179852601,104299206,284151807
2007,389726535,193979304,583705839
2008,224277184,184998679,409275863
2009,247550017,269547895,517097912
2010,434440495,483509363,917949858
2011,106046818,39101586,145148404
2012,336606101,358615327,695221428
2013,218370896,299671120,518042016
2014,626482953,794449134,1420932087
2015,4719695,541900,5261595
2016,171218294,119369207,290587501
2017,175750384,136200000,311950384
2018,2793039,2793039,5586078
2019,270108613,445647729,715756342
